"","GEOID","avg_distance_metro_miles","avg_distance_bus_miles","LOCATION","AREA_SQMI","E_TOTPOP","E_HU","E_HH","E_POV150","E_UNEMP","E_HBURD","E_NOHSDP","E_UNINSUR","E_AGE65","E_AGE17","E_DISABL","E_SNGPNT","E_LIMENG","E_MINRTY","E_MUNIT","E_MOBILE","E_CROWD","E_NOVEH","E_GROUPQ","EP_POV150","EP_UNEMP","EP_HBURD","EP_NOHSDP","EP_UNINSUR","EP_AGE65","EP_AGE17","EP_DISABL","EP_SNGPNT","EP_LIMENG","EP_MINRTY","EP_MUNIT","EP_MOBILE","EP_CROWD","EP_NOVEH","EP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","train_walking_category","bus_walking_category"
"1",11001000101,0.78,0.06,"Census Tract 1.01; District of Columbia; District of Columbia",0.077133913,1097,841,738,47,0,122,12,22,317,78,55,0,0,298,525,0,4,293,0,4.3,0,16.5,1.2,2,28.9,7.1,5,0,0,27.2,62.4,0,0.5,39.7,0,0.0683,0,0.3005,0.1854,0.3951,0.9493,0.1133,0.9756,0.1756,0.1122,0,0,1.2634,0.1084,0.1024,0.1024,0.1024,0.6897,0,0.1921,0.6158,0,1.4976,0.2365,3.8127,0.0837,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"10+ minutes","0-5 minutes"
"2",11001000102,1.03,0.08,"Census Tract 1.02; District of Columbia; District of Columbia",0.658876885,3127,2093,1866,256,16,234,60,33,871,301,211,49,60,634,493,0,0,440,0,8.2,0.8,12.5,2.2,1.1,27.9,9.6,6.7,2.6,2,20.3,23.6,0,0,23.6,0,0.2341,0.0537,0.1576,0.2634,0.2195,0.9283,0.0936,0.9561,0.2341,0.2585,0.4089,0.7171,2.5747,0.5025,0.0146,0.0146,0.0146,0.2709,0,0,0.2709,0,0.5418,0.0296,4.0594,0.0936,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"10+ minutes","0-5 minutes"
"3",11001000202,1.43,0.07,"Census Tract 2.02; District of Columbia; District of Columbia",0.299783106,3919,1957,1802,476,107,255,35,16,825,258,238,0,10,936,431,0,9,523,591,14.5,4.2,14.2,1.4,0.4,21.1,6.6,6.1,0,0.3,23.9,22,0,0.5,29,15.1,0.478,0.4195,0.2315,0.2098,0.0976,1.4364,0.2167,0.8585,0.161,0.1902,0,0.322,1.5317,0.1872,0.0537,0.0537,0.0537,0.2562,0,0.1921,0.3941,0.9512,1.7936,0.3793,4.8154,0.1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"10+ minutes","0-5 minutes"
"4",11001000300,1.7,0.1,"Census Tract 3; District of Columbia; District of Columbia",0.402378516,5979,2785,2471,673,52,347,128,0,606,1335,135,30,23,1992,339,0,16,345,0,11.3,1.5,14,3.2,0,10.1,22.3,2.3,1.2,0.4,33.3,12.1,0,0.6,14,0,0.3512,0.1366,0.2167,0.3561,0,1.0606,0.1281,0.4098,0.6537,0.0195,0.2365,0.3512,1.6707,0.2217,0.2293,0.2293,0.2293,0.1576,0,0.2069,0.1133,0,0.4778,0.0246,3.4384,0.0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10+ minutes","0-5 minutes"
"5",11001000400,0.92,0.14,"Census Tract 4; District of Columbia; District of Columbia",0.59507546,1652,815,660,169,29,101,37,5,345,319,106,10,23,546,412,0,0,89,32,10.2,3.6,15.3,3,0.3,20.9,19.3,6.4,1.5,1.4,33.1,50.6,0,0,13.5,1.9,0.3171,0.3707,0.2611,0.3415,0.0878,1.3782,0.197,0.8439,0.5854,0.2244,0.3005,0.6585,2.6127,0.5222,0.2195,0.2195,0.2195,0.5911,0,0,0.1034,0.6244,1.3189,0.1823,5.5293,0.2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10+ minutes","0-5 minutes"
"6",11001000501,0.14,0.1,"Census Tract 5.01; District of Columbia; District of Columbia",0.363032019,3594,2539,2183,423,167,608,43,51,573,339,236,22,0,1479,2284,0,18,924,47,11.8,6.6,27.9,1.4,1.4,15.9,9.4,6.6,1,0,41.2,89.9,0,0.8,42.3,1.3,0.3756,0.561,0.5764,0.2098,0.2878,2.0106,0.3941,0.7171,0.2244,0.239,0.2266,0,1.4071,0.1281,0.3073,0.3073,0.3073,0.9015,0,0.2512,0.6502,0.5317,2.3346,0.7143,6.0596,0.3251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"0-5 minutes","0-5 minutes"
"7",11001000502,0.48,0.11,"Census Tract 5.02; District of Columbia; District of Columbia",0.224521016,3384,1789,1714,218,49,233,43,16,485,671,187,31,36,1056,1172,0,47,359,0,6.4,2.1,13.6,1.7,0.5,14.3,19.8,5.5,1.8,1.2,31.2,65.5,0,2.8,20.9,0,0.1561,0.2244,0.2118,0.2341,0.1171,0.9435,0.1034,0.6732,0.5902,0.1463,0.33,0.6195,2.3592,0.4138,0.1805,0.1805,0.1805,0.7044,0,0.5369,0.2167,0,1.458,0.2217,4.9412,0.1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10+ minutes","0-5 minutes"
"8",11001000600,0.54,0.12,"Census Tract 6; District of Columbia; District of Columbia",0.55670696,4548,2290,2206,195,75,356,170,43,882,934,364,90,0,966,1181,0,0,537,140,4.4,2.8,16.1,4.8,1,19.4,20.5,8.3,4.1,0,21.2,51.6,0,0,24.3,3.1,0.0732,0.2829,0.2857,0.4634,0.1902,1.2954,0.1823,0.8293,0.6146,0.3951,0.5271,0,2.3661,0.4187,0.0195,0.0195,0.0195,0.601,0,0,0.2956,0.7512,1.6478,0.3202,5.3288,0.2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10+ minutes","0-5 minutes"
"9",11001000702,1.66,0.07,"Census Tract 7.02; District of Columbia; District of Columbia",0.119292777,2921,2476,2168,297,31,699,0,56,317,137,164,38,36,1104,2052,0,65,723,0,10.2,1.3,32.2,0,1.9,10.9,4.7,5.6,1.8,1.2,37.8,82.9,0,3,33.3,0,0.3171,0.1073,0.7241,0,0.3805,1.529,0.2315,0.4927,0.1463,0.1512,0.33,0.6195,1.7397,0.2512,0.2683,0.2683,0.2683,0.8522,0,0.5517,0.4926,0,1.8965,0.4532,5.4335,0.2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10+ minutes","0-5 minutes"
"10",11001000703,1.52,0.17,"Census Tract 7.03; District of Columbia; District of Columbia",0.08962856,2978,2328,2028,100,63,271,26,40,1558,108,547,0,0,958,2303,0,15,506,0,3.4,4,13.4,1,1.3,52.3,3.6,18.4,0,0,32.2,98.9,0,0.7,25,0,0.0439,0.4098,0.1921,0.1707,0.2537,1.0702,0.1379,1,0.122,0.8732,0,0,1.9952,0.2906,0.2098,0.2098,0.2098,0.9655,0,0.2315,0.3054,0,1.5024,0.2414,4.7776,0.1379,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,"10+ minutes","0-5 minutes"
